10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F0, 10, 00, 09, 00, 00, FF, FC, FF, FF, 00, 03, 00, 00, 06, 11, 00, 00, 02, BA, 00, 00, C1, 57, 00, 00, 01, 3E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DF, 7E, FF, F3, 00, 00, 00, 16, FF, FF, 00, 07, 00, 00, 06, 01, 00, 00, 02, CE, 00, 00, C1, 8F, 00, 00, 01, DF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E1, 0C, B4, 17, FF, FE, 7B, C7, 00, 00, 25, 0A, 00, 00, 28, 81, 00, 7F, 58, ED, 00, 47, 4F, 61, 0F, 98, 00, 7E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E2, 99, 00, 23, 00, 00, 00, 11, 00, 00, 00, 08, 00, 00, 06, 1E, 00, 00, 03, 0C, 00, 00, C1, 7E, 00, 00, 01, 77
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E4, 28, E9, 23, 00, 02, 00, 83, 00, 00, 85, 46, 00, 01, 41, FF, 00, 7D, BB, F0, 00, 35, C7, EF, 0F, A0, 00, B8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E5, B6, 00, 13, 00, 00, FF, F5, 00, 00, 00, 11, 00, 00, 06, 1C, 00, 00, 02, EA, 00, 00, C1, 36, 00, 00, 01, 06
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E7, 44, 00, 00, FF, FE, 02, 61, FF, FF, B7, F6, FF, FD, DB, 58, 00, 79, 19, 09, 00, 48, 33, F5, 0F, A0, 00, 6C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E8, D3, 00, 1E, 00, 00, FF, F4, FF, FF, 00, 0D, 00, 00, 05, E3, 00, 00, 02, A2, 00, 00, C1, FA, 00, 00, 01, 6C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EA, 60, 48, DC, 00, 01, 0A, 86, 00, 00, 19, CA, FF, FF, A3, FD, 00, 80, 5B, B5, 00, 35, 09, 36, 0F, AA, 00, 8A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EB, EF, FF, EE, FF, FF, FF, F5, 00, 00, 00, 29, 00, 00, 06, 1D, 00, 00, 03, 4C, 00, 00, C1, 88, 00, 00, 01, EB
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, ED, 7E, 05, E5, FF, FB, 88, 9E, 00, 00, 9B, B8, 00, 01, 8D, F5, 00, 7A, 5C, D8, 00, 49, 30, 33, 0F, A4, 00, A5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EF, 0D, 00, 03, 00, 00, 00, 00, FF, FF, 00, 02, 00, 00, 05, D7, 00, 00, 02, 9B, 00, 00, C1, 6A, 00, 00, 01, F1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F0, 9B, 72, 31, 00, 04, 6D, 0E, 00, 01, 0F, 5C, 00, 01, B9, 23, 00, 7E, F1, 13, 00, 35, 1D, 06, 0F, 9B, 00, C7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F2, 2A, FF, D3, FF, FF, 00, 36, 00, 00, 00, 02, FF, FF, 00, 00, 00, 00, 03, 44, 00, 00, C0, FB, 00, 00, 01, 72
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F3, B9, CB, 54, FF, FE, AA, 83, FF, FF, 0B, 89, 00, 00, 34, DA, 00, 7D, 00, 00, 00, 46, 4B, 43, 0F, 9D, 00, DF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F5, 47, 00, 48, 00, 00, 00, 0B, 00, 00, 00, 07, 00, 00, 06, 49, 00, 00, 00, 00, 00, 00, C1, F7, 00, 00, 01, EB
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F6, D4, B1, FE, 00, 01, F7, 5D, 00, 00, 95, 39, 00, 00, 89, DA, 00, 80, 83, DD, 00, 3B, 81, 08, 0F, A6, 00, A5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F8, 62, FF, DD, FF, FF, FF, E5, 00, 00, 00, 07, 00, 00, 05, BD, 00, 00, 03, 73, 00, 00, C1, B7, 00, 00, 01, 1D
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F9, F0, BA, A5, 00, 00, 9F, B9, FF, FF, 22, 5E, 00, 00, BB, 95, 00, 80, E3, D3, 00, 44, E7, 97, 0F, A8, 00, 6A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FB, 7D, 00, 15, FF, FF, 00, 00, 00, 00, 00, 01, 00, 00, 06, 2F, 00, 00, 02, A4, 00, 00, C1, AC, 00, 00, 01, 22
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FD, 0C, 97, 1A, 00, 01, 15, 69, 00, 00, 14, 6D, FF, FF, 5C, 3E, 00, 81, 53, 71, 00, 3C, 58, 4F, 0F, 9D, 00, 73
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FE, 9A, 00, 03, FF, FF, FF, E5, FF, FF, 00, 07, 00, 00, 05, BF, 00, 00, 03, 3D, 00, 00, C1, AB, 00, 00, 01, 40
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 00, 29, 85, DE, FF, FF, ED, 44, 00, 00, 92, 6E, FF, FE, A1, F8, 00, 79, 47, 85, 00, 3B, D8, A3, 0F, 9E, 00, 46
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 01, B8, 00, 14, 00, 00, 00, 00, 00, 00, 00, 12, 00, 00, 06, 63, 00, 00, 03, 07, 00, 00, C1, 67, 00, 00, 01, C8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 03, 47, A0, C0, FF, FE, E0, 2C, 00, 01, 1E, B1, FF, FF, 71, 6D, 00, 7A, ED, 68, 00, 3F, CB, DB, 0F, 9B, 00, 0A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 04, D5, 00, 09, FF, FF, FF, E4, 00, 00, FF, F7, 00, 00, 05, EA, 00, 00, 03, 0F, 00, 00, C1, B7, 00, 00, 01, 80
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 06, 63, 52, 28, 00, 00, 97, 15, FF, FD, 21, 4A, 00, 01, E2, 62, 00, 7A, 01, ED, 00, 3C, 1D, 89, 0F, A6, 00, 87
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 07, F2, FF, F8, FF, FF, 00, 0A, FF, FF, 00, 02, 00, 00, 06, 3A, 00, 00, 02, D4, 00, 00, C1, 9A, 00, 00, 01, B7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 09, 7F, F3, 8B, FF, FD, 78, 5B, FF, FF, 18, E9, 00, 01, 9C, 2E, 00, 7A, 6D, CF, 00, 3F, 64, FA, 0F, A0, 00, EE
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0B, 0E, 00, 28, 00, 00, FF, EB, 00, 00, FF, F1, FF, FF, 05, BC, 00, 00, 02, D5, 00, 00, C1, 43, 00, 00, 01, 03
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0C, 9C, E6, F7, 00, 02, FC, 7D, 00, 00, 00, 00, 00, 00, C7, F4, 00, 7D, A2, 78, 00, 3C, 6A, 72, 0F, 9B, 00, 61
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0E, 2B, FF, A4, FF, FF, 00, 1A, 00, 00, FF, EB, 00, 00, 06, 5E, 00, 00, 02, EA, 00, 00, C2, 31, 00, 00, 01, 6F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0F, B9, 98, 4B, 00, 01, 1D, FC, FF, FF, 00, 00, 00, 01, 1C, E7, 00, 80, 8A, 41, 00, 47, D6, 47, 0F, 9F, 00, 71
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 11, 48, 00, 34, 00, 00, FF, F0, 00, 00, 00, 22, 00, 00, 05, 6E, 00, 00, 02, E1, 00, 00, C0, E6, 00, 00, 01, E8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 12, D6, 29, 77, 00, 00, 88, 8F, 00, 00, 00, 00, 00, 01, 39, 77, 00, 80, B7, 33, 00, 00, B0, 21, 0F, A7, 00, 8E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 14, 65, FF, CD, FF, FF, FF, DF, FF, FF, 00, 2E, 00, 00, 06, 69, 00, 00, 03, 57, 00, 00, C1, 88, 00, 00, 01, AD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 15, F4, 00, 00, 00, 01, 12, AD, 00, 00, 14, F7, FF, FF, 8B, FA, 00, 76, 61, 04, 00, 42, 92, 4D, 0F, A9, 00, 58
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 17, 82, 00, 39, 00, 00, FF, DF, FF, FF, 00, 12, 00, 00, 05, FA, 00, 00, 02, D3, 00, 00, C1, C2, 00, 00, 01, 65
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 19, 11, 12, 81, 00, 04, 98, 03, 00, 01, 0D, D0, 00, 01, 6D, 53, 00, 80, B5, 57, 00, 3A, 1C, D9, 0F, 90, 00, A2
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1A, A0, FF, E8, FF, FF, 00, 15, 00, 00, 00, 01, FF, FF, 05, E2, 00, 00, 03, 74, 00, 00, C1, 8C, 00, 00, 01, AC
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1C, 2E, 3E, C7, FF, FE, 1D, E0, FF, FF, AC, B1, FF, FF, 6E, 41, 00, 7D, B2, 86, 00, 3F, A5, 47, 0F, AE, 00, 3B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1D, BB, FF, F9, 00, 00, FF, FF, FF, FF, FF, FC, FF, FF, 05, D7, 00, 00, 02, CF, 00, 00, C1, 9D, 00, 00, 01, 1E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1F, 4A, 44, 21, 00, 00, 9F, 07, FF, FE, 12, 89, 00, 00, CE, 3C, 00, 81, DC, 7F, 00, 41, 52, 84, 0F, A1, 00, 06
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 20, D8, 00, 0E, FF, FF, 00, 1A, FF, FF, FF, F1, 00, 00, 06, 02, 00, 00, 03, 55, 00, 00, C1, 52, 00, 00, 01, CD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 22, 65, BA, DB, 00, 00, 2A, 66, FF, FF, 17, AD, 00, 00, E7, A3, 00, 00, 47, 69, 00, 3E, 9E, 2D, 0F, A8, 00, B5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 23, F4, 00, 00, 00, 00, 00, 05, FF, FF, FF, FB, 00, 00, 05, D3, 00, 00, 02, A3, 00, 00, C1, DB, 00, 00, 01, 7B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 25, 82, AE, 9C, FF, FF, 78, F6, FF, FF, 0A, 51, 00, 01, 86, 9B, 00, 82, 74, AA, 00, 42, BF, D5, 0F, 96, 00, 40
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 27, 11, FF, F9, 00, 00, FF, D4, FF, FF, 00, 01, FF, FF, 06, 06, 00, 00, 03, 7C, 00, 00, C1, 91, 00, 00, 01, 2B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 28, A0, 9F, 4C, 00, 01, 0A, 20, 00, 00, 89, 43, 00, 01, 03, 29, 00, 78, 85, 92, 00, 38, 1D, A4, 0F, A7, 00, 62
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2A, 2D, FF, F3, FF, FF, FF, F0, FF, FF, FF, DB, FF, FF, 05, F2, 00, 00, 02, E6, 00, 00, C1, 97, 00, 00, 01, 91
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2B, BA, A0, CC, 00, 01, 8A, C2, FF, FF, 29, 85, FF, FF, 00, 00, 00, 83, EF, 23, 00, 41, 8D, 83, 0F, A5, 00, 2F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2D, 49, FF, E8, FF, FF, 00, 1C, 00, 00, FF, F6, 00, 00, 06, 33, 00, 00, 03, 43, 00, 00, C2, 1E, 00, 00, 01, 19
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2E, D7, CB, D2, 00, 02, 14, 22, 00, 00, 9E, B6, FF, FE, 58, 85, 00, 7F, 1E, 20, 00, 34, 00, 00, 0F, A0, 00, F5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 30, 64, 00, 0E, 00, 00, 00, 01, FF, FF, FF, F1, 00, 00, 06, 38, 00, 00, 02, CF, 00, 00, C1, 3A, 00, 00, 01, E9
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 31, F3, 29, 84, 00, 00, FF, EC, 00, 00, 0A, FC, FF, FF, 36, 4E, 00, 7B, E7, 0C, 00, 45, B4, 15, 0F, 9B, 00, B7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 33, 81, 00, 18, 00, 00, 00, 0B, FF, FF, FF, FD, FF, FF, 05, DA, 00, 00, 02, E0, 00, 00, C1, A1, 00, 00, 01, 40
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 35, 0E, 42, AA, 00, 03, 93, 9D, FF, FF, 9B, 48, 00, 00, 42, CD, 00, 7F, BB, 6F, 00, 39, E2, D2, 0F, 9C, 00, E0
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 36, 9D, 00, 2D, 00, 00, 00, 0B, 00, 00, 00, 17, FF, FF, 05, F1, 00, 00, 03, 09, 00, 00, C1, 42, 00, 00, 01, 73
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 38, 2C, B2, FA, FF, FF, 7C, 4A, 00, 00, 94, 70, FF, FF, 49, BA, 00, 79, 5C, 6B, 00, 49, 14, 13, 0F, A4, 00, 89
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 39, BA, 00, 23, 00, 00, FF, F4, FF, FF, FF, DB, FF, FF, 06, 1E, 00, 00, 02, B7, 00, 00, C1, F6, 00, 00, 01, C1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 3B, 48, 06, E0, 00, 03, 8F, 3C, FF, FE, A7, CD, 00, 01, 25, 8A, 00, 81, 76, 6C, 00, 38, 80, B2, 0F, AC, 00, 2D
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 3C, D6, FF, C8, FF, FF, 00, 05, FF, FF, 00, 18, 00, 00, 05, E1, 00, 00, 03, 69, 00, 00, C1, 6A, 00, 00, 01, BD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 3E, 64, 74, 21, 00, 01, 13, 4A, 00, 01, 8E, D8, FF, FF, E3, D6, 00, 78, 5E, 24, 00, 47, DE, 4B, 0F, A1, 00, 1A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 3F, F3, 00, 2E, 00, 00, FF, EF, 00, 00, FF, E1, FF, FF, 05, FB, 00, 00, 02, 89, 00, 00, C1, 79, 00, 00, 01, 3F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 41, 81, 95, E4, 00, 00, 08, F9, 00, 00, A1, 12, FF, FF, 0F, 99, 00, 80, 15, 76, 00, 3A, 33, BD, 0F, 99, 00, BF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 43, 10, FF, C3, FF, FF, 00, 16, 00, 00, 00, 17, 00, 00, 05, A1, 00, 00, 03, 35, 00, 00, C1, 37, 00, 00, 01, 64
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 44, 9E, 8B, FE, 00, 00, 20, E0, FF, FE, 93, 45, FF, FF, 01, 9B, 00, 7D, AE, 69, 00, 49, C2, 38, 0F, A6, 00, B3
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 46, 2C, 00, 49, 00, 00, FF, E5, FF, FF, FF, F7, FF, FF, 06, 3A, 00, 00, 02, 9F, 00, 00, C1, D6, 00, 00, 01, 57
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 47, BB, C0, BC, FF, FE, 91, CD, 00, 00, 0B, E9, 00, 01, 69, 51, 00, 83, 28, 2E, 00, 37, 5F, A9, 0F, A3, 00, 9F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 49, 49, FF, D3, FF, FF, 00, 0A, FF, FF, FF, F6, FF, FF, 05, DE, 00, 00, 03, 4F, 00, 00, C1, B4, 00, 00, 01, 55
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 4A, D8, 27, 04, FF, FF, 9A, D7, 00, 00, 08, 86, 00, 01, B8, 81, 00, 77, 64, D1, 00, 3B, 9C, 36, 0F, A3, 00, 3C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 4C, 66, 00, 28, 00, 00, 00, 00, 00, 00, 00, 0D, 00, 00, 06, 31, 00, 00, 02, A3, 00, 00, C1, 67, 00, 00, 01, 39
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 4D, F5, 97, 50, FF, FF, 0B, 78, 00, 00, A2, 9A, FF, FF, 6C, E5, 00, 83, 9B, FF, 00, 41, 04, 94, 0F, 9A, 00, 21
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 4F, 84, 00, 08, 00, 00, FF, EA, FF, FF, 00, 02, 00, 00, 05, D0, 00, 00, 03, 2C, 00, 00, C1, 91, 00, 00, 01, 68
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 51, 12, E1, 11, 00, 01, 03, D0, FF, FE, 2F, F4, FF, FF, 58, EF, 00, 79, 27, 6F, 00, 40, 07, A7, 0F, A1, 00, 88
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 52, A1, 00, 24, 00, 00, FF, F5, FF, FF, 00, 33, 00, 00, 06, 3B, 00, 00, 02, DC, 00, 00, C1, 93, 00, 00, 01, FD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 54, 30, 00, 00, 00, 01, 1A, 03, FF, FF, 87, 7A, 00, 01, C4, 0D, 00, 7A, 9F, A4, 00, 00, 45, 64, 0F, A2, 00, D7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 55, BF, FF, FD, FF, FF, 00, 0B, FF, FF, 00, 08, FF, FF, 05, B3, 00, 00, 02, FF, 00, 00, C1, EC, 00, 00, 01, D1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 57, 4C, 74, 5D, 00, 02, 7F, 26, 00, 00, 23, 38, 00, 01, 0F, 53, 00, 7E, F7, 9E, 00, 3B, 68, 0D, 0F, A2, 00, 9A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 58, DB, 00, 08, 00, 00, 00, 0B, 00, 00, FF, F6, FF, FF, 06, 73, 00, 00, 02, BA, 00, 00, C1, 74, 00, 00, 01, F1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 5A, 69, 9E, 92, FF, FE, A9, 42, FF, FE, 9A, 29, 00, 01, 47, 87, 00, 7C, 46, 90, 00, 43, 31, 45, 0F, 9A, 00, 6B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 5B, F8, 00, 0D, FF, FF, FF, D4, FF, FF, FF, FC, FF, FF, 05, A7, 00, 00, 02, CB, 00, 00, C1, 71, 00, 00, 01, 21
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 5D, 87, 8D, 23, 00, 01, 18, 28, FF, FF, 07, 34, FF, FF, 6E, 8F, 00, 7D, 2A, 87, 00, 3A, CA, C8, 0F, 9E, 00, FD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 5F, 16, 00, 18, FF, FF, FF, FB, 00, 00, 00, 12, 00, 00, 06, 48, 00, 00, 03, 24, 00, 00, C1, 87, 00, 00, 01, A2
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 60, A4, A0, 80, FF, FF, 83, E9, FF, FF, AB, 53, 00, 00, 95, 2C, 00, 7C, 11, FA, 00, 3E, D0, B2, 0F, A7, 00, 95
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 62, 33, 00, 2D, 00, 00, FF, FB, FF, FF, 00, 23, 00, 00, 05, CF, 00, 00, 02, BF, 00, 00, C1, D5, 00, 00, 01, 56
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 63, C1, B0, A0, FF, FF, 82, 2C, 00, 00, 9A, B1, 00, 01, 58, 54, 00, 7D, 28, F0, 00, 3C, 63, 63, 0F, A3, 00, AE
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 65, 4E, FF, E8, 00, 00, 00, 0A, FF, FF, 00, 02, FF, FF, 06, 0A, 00, 00, 03, 64, 00, 00, C1, 70, 00, 00, 01, 98
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 66, DC, 1E, D4, FF, FF, 7B, A0, 00, 01, 7D, 2B, 00, 00, D2, 07, 00, 7C, 24, DC, 00, 42, 49, F6, 0F, A4, 00, CC
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 68, 6B, 00, 1E, 00, 00, 00, 06, FF, FF, FF, F1, 00, 00, 06, 12, 00, 00, 02, A4, 00, 00, C1, 67, 00, 00, 01, 19
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 69, F8, 00, 00, FF, FD, 75, 9A, FF, FF, 89, 69, 00, 00, 1F, A2, 00, 82, A8, 3A, 00, 3B, 83, A8, 0F, 9B, 00, DE
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 6B, 86, FF, FD, FF, FF, 00, 0A, FF, FF, 00, 1D, 00, 00, 05, E7, 00, 00, 03, 5F, 00, 00, C1, 67, 00, 00, 01, D4
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 6D, 15, 82, 95, 00, 01, 00, 0A, FF, FE, A1, 4F, 00, 00, 6D, F1, 00, 7B, A4, DA, 00, 3E, 7B, 46, 0F, A5, 00, E8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 6E, A4, 00, 38, 00, 00, FF, E5, FF, FF, 00, 0D, 00, 00, 05, E3, 00, 00, 02, C0, 00, 00, C1, C9, 00, 00, 01, BB
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 70, 32, 52, B2, FF, FF, 00, 00, 00, 00, 8B, 60, 00, 00, 66, B8, 00, 82, 83, A0, 00, 3F, 01, F4, 0F, A1, 00, 83
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 71, C1, FF, E3, FF, FF, FF, F5, 00, 00, 00, 00, 00, 00, 06, 2F, 00, 00, 03, 6B, 00, 00, C1, B8, 00, 00, 01, 70
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 73, 50, 70, B2, 00, 02, 0A, C8, FF, FF, 1B, 6F, 00, 01, 55, 2D, 00, 78, 67, CF, 00, 39, 2C, 07, 0F, A2, 00, DC
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 74, DD, 00, 00, 00, 00, 00, 00, 00, 00, FF, E6, FF, FF, 05, C8, 00, 00, 02, C5, 00, 00, C1, 55, 00, 00, 01, 2C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 76, 6A, C4, 57, 00, 01, 73, 44, 00, 01, 9F, EF, 00, 00, B0, A8, 00, 7F, 00, 00, 00, 42, A7, 94, 0F, 98, 00, 8A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 77, F9, 00, 03, FF, FF, FF, DE, FF, FF, FF, E1, 00, 00, 05, FE, 00, 00, 03, 3D, 00, 00, C1, AB, 00, 00, 01, 29
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 79, 87, A9, B3, 00, 00, 92, B1, FF, FF, 3D, 16, FF, FE, BB, D4, 00, 7A, B8, A2, 00, 3A, E2, 67, 0F, A5, 00, D4
